"관광타입","음식점"
"음식점명","벨난조개전골  "
"개요","벨난 조개전골은 제주도 최초의 조개전골 입니다. 일반 해물탕이나 조개찜, 조개 구이와 차별화된 저희 가게만의 맑은 육수로 시원하고 깔끔한 국물맛을 자랑하며 푸짐한 양으로 손님들을 만족 시킵니다. 조개, 돼지샤브, 죽으로 이어지는 코스가 기본으로 제공됩니다. 항상 신선한 재료로 손님들의 맛있는 한끼를 책임지겠습니다. 감사합니다. 제주대학교병원, 영롱가가 인접해 있습니다."
"주소","제주 제주시 인다14길 28-12"
"주소(도로명)","제주특별자치도 제주시 인다14길 28-12"
"주소(지번주소)","제주특별자치도 제주시 아라일동 6142-12"
"대표번호","064-752-0759"
"영업시간","17:00 - 22:00"
"휴무일","매주 일요일"
"취급메뉴","조개전골, 샤브샤브"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 가성비가 좋아요, 특별한 메뉴가 있어요"
