"관광타입","음식점"
"음식점명","면차롱"
"개요","제주도 협재에 위치한 특별한 맛집에 오신 걸 환영합니다. 제주도만의 정성이 가득 담긴 싱싱하고 푸짐한 해물  또한 더욱 특별하고 맛있는 면차롱만의 짬뽕을 맛보실 수 있습니다. 무농약으로 재배한 감귤을 베이스로 만든 상큼한 맛이 일품인 흑돼지 고기를 사용하여 겉은 바삭, 속은 쫀득한 감귤탕수육입니다. 저희 면차롱에 꼭 들르셔서 맛보세요. 후회 없이 즐거운 식사 보장합니다. 해물은 계절에 따라 변경될 수 있습니다. 해피쌀롱, 광수설비가 인접해 있습니다."
"주소","제주 제주시 한림읍 한림로 380"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림로 380"
"주소(지번주소)","제주특별자치도 제주시 한림읍 협재리 1898"
"대표번호","064-796-7832"
"영업시간","11:00 - 20:30"
"휴무일","매주 화요일"
"취급메뉴","문어전복해물짬뽕, 전복볶음밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 친절해요, 재료가 신선해요, 매장이 청결해요"
