"관광타입","음식점"
"음식점명","비냐스테"
"개요","비냐스테는 와이너리를 의미하는 스페인어  비냐와 스테이크의 합성어로 양질의 가성비 와인과 웻에이징한 국내산 제주 한우 핫스톤 스테이크를 합리적인 가격으로 제공하는 청수리에 위치한 소박한 레스토랑입니다. 비냐스테는 아래와 같이 운영됩니다. 1. 2인이 운영하는 작은 레스토랑이라 최소 하루 전 사전 예약은 필수이며 하루 3 테이블 한정으로 예약을 받습니다. 2. 비냐스테는 핫스톤을 사용하기 때문에 노키즈존으로 운영되며 13세 이상부터 예약 가능합니다. 3. 비냐스테의 메뉴는 핫스톤 스테이크 세트 한 가지만 제공됩니다. 4. 세트 메뉴는 내부 사정으로 사전 예고 없이 조정될 수 있음을 양해 바랍니다. 씨유 제주청수점이 인접해 있습니다."
"주소","제주 제주시 한경면 낙수로 275 102호"
"주소(도로명)","제주특별자치도 제주시 한경면 낙수로 275"
"주소(지번주소)","제주특별자치도 제주시 한경면 청수리 2081-1"
"대표번호","0507-1428-5044"
"영업시간","18:00-21:00"
"휴무일","매주 월요일, 화요일"
"취급메뉴","스테이크, 가든 샐러드"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 인테리어가 멋져요, 친절해요, 특별한 날 가기 좋아요, 재료가 신선해요"
