"관광타입","음식점"
"음식점명","피자헛 서귀포점"
"개요","지금 피자헛 온라인 회원으로 가입하시면 즉시 사용 가능한 할인 쿠폰을 지급해 드립니다. 최대 50프로 할인, 콜라 무료, 돈마호크 180그램과 리코타 치즈의 환상 케미 마무리는 피자헛의 시그니처입니다. 골드 바이트 엣지로 피자헛 신메뉴, 돈마호크 갈비맛 스테이크 180그램이 통째로 들어 있습니다. 진짜 프리미엄 피자의 시작, 립스테이크 바이트메가 더블 세트를 2판을 한 번에 피크닉, 홈 파티, 간식으로 다양하게 즐겨보세요. 주공2단지, 기적의도서관, 용신공구마트, 굽네치킨이 인접해 있습니다."
"주소","제주 서귀포시 일주동로 8590"
"주소(도로명)","제주특별자치도 서귀포시 일주동로 8590"
"주소(지번주소)","제주특별자치도 서귀포시 동홍동 116-9"
"대표번호","064-732-0974"
"영업시간","11:00 - 23:00"
"휴무일","없음"
"취급메뉴","마니아 알로하 하와이, 마니아 BBQ불고기"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 가성비가 좋아요, 매장이 청결해요"
