"관광타입","음식점"
"음식점명","대기정"
"개요","대기정은 제주도 중문에 위치한 갈치 요리 전문점이다. 채낚이배로 잡은 13미 이상의 최상품 생물 갈치만을 사용하며 제주도에서 통갈치 음식점 중 가장 싸고 맛있는 집이라고 자부한다. 국내에서 유일하게 갈치돌솥밥을 판매하고 신선한 갈치회를 기본 반찬으로 제공해 준다. 부드러운 갈치요리를 바탕으로 향긋한 성게비빔밥, 푸짐한 전복돌솥밥 등 제주의 맛을 만끽할 수 있는 메뉴들로 가득하다. 2층까지 넓고 쾌적한 실내공간은 물론 친절한 직원들, 도로와 가까운 주차장까지 겸비하고 있다. 아프리카박물관, 카페커피메딕이 인접해 있습니다."
"주소","제주특별자치도 서귀포시 이어도로 41"
"주소(도로명)","제주특별자치도 서귀포시 이어도로 41"
"주소(지번주소)","제주특별자치도 서귀포시 대포동 1787"
"대표번호","064-739-1041"
"영업시간","11:00~21:00"
"휴무일","없음"
"취급메뉴","통갈치구이, 통갈치조림"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 양이 많아요, 특별한 메뉴가 있어요"
