"관광타입","음식점"
"음식점명","보배반점 제주도청점"
"개요","보배반점 제주도청점 7월 30일 오픈입니다. 안녕하세요. 보배반점 제주도청점입니다. 저희 보배반점 제주도청점은 정통 중식 본연의 맛을 즐길 수 있는 프리미엄 중식당입니다. 제주도민분들에게 남들과 다른 불 맛과 맛있는 짬뽕을 제공할 수 있도록 노력하겠습니다. 위생에 신경 써 청결한 매장과 신선한 맛을 제공할 수 있도록 노력하겠습니다. 주문해 주시는 모든 분들께 최선을 다하여 만족감을 드릴 수 있는 제주 보배반점이 될 수 있도록 노력하겠습니다. 감사합니다. 스바루, 세븐일레븐이 인접해 있습니다."
"주소","제주 제주시 귀아랑길 13"
"주소(도로명)","제주특별자치도 제주시 귀아랑길 13"
"주소(지번주소)","제주특별자치도 제주시 연동 310-13"
"대표번호","0507-1351-7723"
"영업시간","00:00~24:00"
"휴무일","전화문의"
"취급메뉴","보배 흑돼지짜장면, 소고기짬뽕"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 매장이 넓어요, 매장이 청결해요, 양이 많아요, 재료가 신선해요"
