"관광타입","음식점"
"음식점명","제주섬만두 "
"개요","서귀포 매일시장 공용주차장 출입구 옆 수제 손만두가게입니다. 제주를 대표하는 현무암을 닮은 현무암 매운맛 만두와 깊은 맛을 담은 섬만두 고기 옛 추억이 담긴 가락국수까지 매일 신선한 재료로 정성을 다 해 준비하겠습니다. 11시부터 7시까지 입니다. 매일올래시장 공용주차장에서 시장 출입구 방향 왼쪽에 있습니다. CU 편의점 사거리에 위치해 있습니다. 올래장터국수, 리라미용실이 인접해 있습니다. "
"주소","제주 서귀포시 중정로61번길 23"
"주소(도로명)","제주특별자치도 서귀포시 중정로61번길 23"
"주소(지번주소)","제주특별자치도 서귀포시 서귀동 291-11"
"대표번호","064-767-9599"
"영업시간","11:00 - 19:00"
"휴무일","매주 일요일 "
"취급메뉴","가락국수, 현무암만두"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 친절해요, 양이 많아요"
