"관광타입","음식점"
"음식점명","반디파스타"
"개요","예약을 못하셨어도 매장 이용 가능합니다. 예약은 네이버에서 가능하며, 당일 예약 및 전화 예약은 불가능합니다. 반디파스타는 7세 이하 노키즈존으로, 8살부터 입장 가능합니다. 휴무일과 브레이크 타임이 없습니다. 함덕해수욕장 바로 앞에 위치한 파스타 전문점 반디파스타입니다. 제주도에서 가장 아름다운 함덕 해변을 내려다보며 제주 스타일의 파스타를 즐겨보세요. 메가커피 함덕해수욕장점, 준반점, 롯데리아 제주함덕점이 인접해 있습니다."
"주소","제주 제주시 조천읍 조함해안로 528 3층"
"주소(도로명)","제주특별자치도 제주시 조천읍 조함해안로 528"
"주소(지번주소)","제주특별자치도 제주시 조천읍 함덕리 1004-29"
"대표번호","0507-1384-0615"
"영업시간","11:00-21:00"
"휴무일","없음"
"취급메뉴","전복 트러플오일 파스타, 해산물 크림파스타"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 친절해요, 재료가 신선해요, 매장이 청결해요"
