"관광타입","음식점"
"음식점명","체면"
"개요","저희 매장은 전화 연결이 안 됩니다. 문의는 네이버 톡톡으로 운영하고 있습니다. 확인 후 답변드리겠습니다. 사전문의 부탁드립니다. 2022년 9월 6일부터 매장 운영방식이 변경됐습니다. 상세내용 점심 영업 예약 없음. 영업시간 11시 30분부터 15시까지 라멘요리만 서비스합니다. 기존 화로 이용이 불가능합니다. 예약 없이 운영하며, 재료 소진 시 조기 주문 마감할 수 있습니다. 저녁 영업 100퍼센트 예약. 영업은 1부 17시 30분, 2부 19시로 나눠 운영하며, 예약이 완료된 고객만 입장할 수 있습니다. 한우 1 투플러스 최상급 요리와 계절 요리 라멘 등으로 구성되어, 화로에 집중된 서비스가 제공됩니다. 100퍼센트 예약제입니다. 네이버 예약을 통해 예약할 수 있으며, 당일 예약 마감은 1부 14시 30분, 2부 16시로 예약이 종료됩니다. 추사유배지, 대정향교가 인접해 있습니다."
"주소","제주 서귀포시 대정읍 단산로 95 1층 체면"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 단산로 95"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 안성리 1562-6"
"대표번호","0507-1443-4422"
"영업시간","11:30 - 15:00/20:30"
"휴무일","매주 월요일"
"취급메뉴","흑마농라멘, 탄탄멘"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 친절해요, 혼밥하기 좋아요, 재료가 신선해요"
