"관광타입","음식점"
"음식점명","그릉그릉 파스타가게"
"개요","셰프가 혼자 일하는 파스타 가게입니다. 조미료를 일절 사용하지 않고 있으며 식당에서 제공되는 모든 요리를 직접 만들고 있습니다. 파스타는 트레이에 서비스되며 3가지를 같이 드립니다. 블루베리 드레싱을 곁들인 샐러드, 리코타치즈를 올린 토마토, 피클이 식사 후에는 기분 좋게 식사를 마무리하시라고 고양이 티라미수를 드립니다. 다른 곳보다 조금 더 시간이 걸릴 순 있지만 모든 것을 셰프가 직접 하므로 더욱 믿음직하고 맛있는 음식을 드실 수 있을 거에요. 맛있는 파스타 드시고 그릉그릉하세요. 세화국수동네, 만남다방이 인접해 있습니다."
"주소","제주 제주시 구좌읍 구좌로 31"
"주소(도로명)","제주특별자치도 제주시 구좌읍 구좌로 31"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 세화리 1521-5"
"대표번호","010-6393-8178"
"영업시간","12:00 - 19:30"
"휴무일","매주 화요일"
"취급메뉴","제주산 흑돼지스튜 크림스파게티, 제주산고사리오일파스타"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 친절해요, 인테리어가 멋져요, 특별한 메뉴가 있어요, 혼밥하기 좋아요"
