"관광타입","음식점"
"음식점명","어덜트 밤비노  "
"개요","어덜트 밤비노는 와인과주류가 있는 한식양식 퓨전 레스토랑 입니다. 2층 계단이 가파른편이라 노키즈존 으로 운영하고 있습니다. 걷지못하는 영유아 유모차와 함께 입장가능하고, 7세 이상 부터 입장가능합니다. 실내에 애견동반 시에는 실내케이지 또는 가방 안에 있어야해요. 야외이용시 케이지 없이 가능합니다.예약은 캐치테이블 이용해주세요. 워크인가능해요. 예약금 2만원 당일취소 예약금 환불 불가, 전날 취소 50퍼센트 환불합니다. 제주공항과 15분 정도의 거리, 제주시내 위치해 있습니다. 제주시청 근접 제주시내에 위치 해 있고 주차 공간이 넓어요. 실내, 야외 공간 둘 다 이용 가능합니다. 넓은 조경공간과 뉴욕에 와 있는듯한 시크하고 깔끔한 분위기가 특별하고 좋은 시간을 보내실 수 있어요. 일류급 쉐프님들의 런치와 디너 요리를 드실 수 있습니다. 이도초등학교, 케이모터스가 인접해 있습니다."
"주소","제주 제주시 도남로 168-15 2층"
"주소(도로명)","제주특별자치도 제주시 도남로 168-15"
"주소(지번주소)","제주특별자치도 제주시 아라일동 2981"
"대표번호","070-7537-0459"
"영업시간","12:00/17:00-22:00"
"휴무일","매주 수요일"
"취급메뉴","연어솥밥, 우대갈비"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 인테리어가 멋져요, 특별한 메뉴가 있어요, 친절해요, 특별한 날 가기 좋아요"
