"관광타입","음식점"
"음식점명","두찜 제주함덕점"
"개요","대한민국에서 찜닭 한 마리 가격에 두 마리를 주는 곳은 두찜뿐입니다. 맵기는 입맛에 따라 1단계부터 5단계까지 선택할 수 있습니다. 조리시간은 30분이 걸리며 배달시간은 50분이 걸립니다. 배달이 조금 늦어지더라도 배달기사분의 안전을 위해서 너그럽게 이해해 주시면 감사하겠습니다. 고객님의 부담을 덜어드리기 위해 저렴한 가격으로 맛 좋은 찜닭을 한 마리 가격에 두 마리를 제공하고 있으니, 맛있게 드시고 또 찾아주세요. 원산지 뼈 닭은 국내산, 순살은 브라질산입니다. 제주김만복, 씨유 제주함덕사거리점이 인접해 있습니다."
"주소","제주 제주시 조천읍 함와로 21 1층"
"주소(도로명)","제주특별자치도 제주시 조천읍 함와로 21"
"주소(지번주소)","제주특별자치도 제주시 조천읍 함덕리 4157-3"
"대표번호","064-784-2728"
"영업시간","11:00-23:00"
"휴무일","없음"
"취급메뉴","까만찜닭, 로제찜닭"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 가성비가 좋아요, 양이 많아요, 매장이 청결해요"
