"관광타입","음식점"
"음식점명","돈까스튀기는서대리"
"개요","모두의 안전을 위하여 노키즈존 으로 운영되오니 방문전 참고 부탁드립니다. 1인 1메뉴 주문을 원칙으로 하고 있으니, 방문 전 참고부탁드리겠습니다. 저희 매장은 제주도 최초, 유일한 난축맛돈 흑돼지 돈가스 전문점입니다. 난축맛돈 흑돼지 등심, 제주백돈 안심, 서울우유 자연치즈를 주 재료로 사용하고 있습니다. 안녕하세요. 서대리입니다. 모든 음식에 정성을 다하고 있습니다. 집밥을 먹는 듯한 깔끔한 스타일의 음식을 손님들께 제공해드리겠습니다.항상 최선을 다하겠습니다. 감사합니다. 제쭈도, 경애관이 인접해 있습니다."
"주소","제주 제주시 연동14길 14"
"주소(도로명)","제주특별자치도 제주시 연동14길 14"
"주소(지번주소)","제주특별자치도 제주시 연동 294-25"
"대표번호","0507-1375-1771"
"영업시간","11:00~19:00"
"휴무일","매주 화요일, 수요일"
"취급메뉴","치즈돈가스, 돈가스"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 혼밥하기 좋아요, 매장이 청결해요"
