"관광타입","음식점"
"음식점명","인디언키친"
"개요","현지인 셰프가 탄두리 화덕에서 요리하는 정통 인도 음식 전문점, 온실 스타일로 디자인된 초록과 햇살이 가득한 공간에서 특별한 힐링의 시간을 즐길 수 있는 곳입니다. 주차 걱정이 없는 넓은 주차장과 식후 산책을 즐길 수 있는 사계절 꽃이 피는 아름다운 야외 정원은 여러분의 시간을 맛과 멋으로 가득 채울 것입니다. 새큰이가든, 연자식당이 인접해 있습니다."
"주소","제주 제주시 애월읍 애원로 191"
"주소(도로명)","제주특별자치도 제주시 애월읍 애원로 191"
"주소(지번주소)","제주특별자치도 제주시 애월읍 상가리 2059-1"
"대표번호","0507-1390-5859"
"영업시간","11:30 - 21:00"
"휴무일","전화문의"
"취급메뉴","양갈비, 탄두리 치킨"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 인테리어가 멋져요, 매장이 넓어요, 특별한 메뉴가 있어요, 주차하기 편해요"
