"관광타입","음식점"
"음식점명","피프틴디그리  "
"개요","15 Degrees는 셰프가 직접 제주 흑돼지를 건조 숙성하여 수제 샤퀴테리를 만들고 있습니다. Take out 샤퀴테리 플래터와 샌드위치는 주문 즉시 샤퀴테리를 썰어서 만들어 드리기 때문에 약간의 대기시간이 소요됩니다. 매장 전화나 DM으로 미리 예약하시면 픽업 시간에 맞춰서 준비해 드려요. In house 소규모 테이블 5개가 준비되어 있고, 6인 이상은 문의 부탁드립니다. 진한 풍미를 위해 살라미는 6주 이상, 발효햄은 3개월 이상 숙성합니다. 공정에 따라 제품이 품절될 수 있으니 원하는 제품이 있으시면 매장 전화나 DM으로 연락 부탁드립니다. 제주공항, 아라교회가 인접해 있습니다."
"주소","제주 제주시 인다3길 8-2 1층"
"주소(도로명)","제주특별자치도 제주시 인다3길 8-2"
"주소(지번주소)","제주특별자치도 제주시 아라일동 6110-8"
"대표번호","0507-1324-0681"
"영업시간","11:00 - 18:00"
"휴무일","매주 월요일, 화요일"
"취급메뉴","흑돼지 잠봉뵈르, 파스트라미 샌드위치"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 친절해요, 재료가 신선해요, 매장이 청결해요"
