"관광타입","음식점"
"음식점명","인생극장쪽갈비 동홍점"
"개요","과일 양념으로 숙성시켜 맛이 과하지 않고 남녀노소 좋아할 만한 맛, 전국 150여 개 매장에서 인정해 주는 간장베이스 양념 쪽 갈비와 그 양념 쪽갈비로 매운맛을 입혀 더 맛있는 매운맛입니다. 제주에서만 드실 수 있는 고품격 제주 등갈비를 손 하나 까딱하지 않고 맛있게 드실 수 있도록 손질하고 구워드립니다. 오늘은 누가 고기 굽나 눈치 볼 필요 없고, 애들 고기 구워주랴 먹다 남은 거 드시는 부모님들을 위한 매장입니다. 평상 자리도 있어요. 해피투게더, 전골의법칙이 인접해 있습니다."
"주소","제주 서귀포시 동홍중앙로66번길 30-7"
"주소(도로명)","제주특별자치도 서귀포시 동홍중앙로66번길 30-7"
"주소(지번주소)","제주특별자치도 서귀포시 동홍동 420-3"
"대표번호","064-738-9255"
"영업시간","17:00-22:00"
"휴무일","매주 수요일"
"취급메뉴","양념쪽갈비, 제주산소금쪽갈비"
"주차시설 유무","있음"
"리뷰키워드","없음"
