"관광타입","음식점"
"음식점명","장군오리"
"개요","1. 제주산 흑돼지보다 더 고소하고 담백한 제주산 생오리 전문 식당입니다. 2. 흑돼지와 비교할 수 없는 맛과 가성비는 NO. 1입니다. 3. 천연암반수와 천혜의 자연환경인 한라산 끝자락에서 낳고 자란 HACCP 인증된 제주산 오리만을 사용합니다. 4. 장군 오리에서는 맛뿐만 아니라 신선도, 청결, 친절 등 모든 면에서 최선을 다해 제주도를 찾으신 여행객들이 다시 제주도 장군 오리를 찾고 싶은 마음을 불러일으킬 수 있도록 감동이 있는 서귀포 맛집이 되도록 늘 노력하겠습니다. 용머리해안, 사계해안이 인접해 있습니다."
"주소","제주 서귀포시 대정읍 일주서로2498번길 28 1층"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 일주서로2498번길 28"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 상모리 3415"
"대표번호","064-792-1152"
"영업시간","11:00 - 22:00"
"휴무일","격주 월요일"
"취급메뉴","생구이한마리, 샤브코스"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 친절해요, 매장이 청결해요"
