"관광타입","음식점"
"음식점명","어물전"
"개요","성산 일출봉과 섭지코지 사이에 위치한 저희 업소는 제주도 특산물인 해산물과 활어회를 사용하며 고등어회, 딱새우 회, 제주 갈치회 전문점으로 주차 편의시설 또한 넓어서 불편함이 없습니다. 맛과 정성, 부담 없는 가격으로 모시고 있사오니 많은 발길해 주시기 바랍니다. 늘 행복하세요. 감사합니다. 제주스테이인성산호텔, 타쿠마 스시, 신양리사무소가 인접해 있습니다."
"주소","제주 서귀포시 성산읍 신고로 42 1층"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 신고로 42"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 고성리 490-23"
"대표번호","0507-1498-8259"
"영업시간","13:00-22:00"
"휴무일","매주 화요일"
"취급메뉴","제주갈치회, 고등어회"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 주차하기 편해요, 양이 많아요"
