"관광타입","음식점"
"음식점명","바다를본돼지 제주노형점"
"개요","제주 토종 흑돼지와 신선한 제주 해산물을 함께 드실 수 있는 특별한 공간입니다. 2호점인 노형점은 제주공항과 제주시내와 인접해 있습니다. 용담이호 해안도로, 제주드림타워, 제주야시장, 한라수목원, 탑동광장,이호테우해수욕장 등 유명한 명소들이 많습니다. 3호점인 서귀포점은 근처에 서귀포항과 천지연폭포, 정방폭포, 이중섭거리, 서귀포올레시장, 쇠소깍 등 유명한 명소들이 많아 관광하시고 오셔서 편하게 식사하실 수 있도록, 쾌적하고 넓은 실내공간과 어느 자리에서건 문섬과 함께 서귀포바다를 보며 맛있게 제주흑돼지 구이를 드실 수 있게 정성들여 준비를 했습니다. 마님순대, 써니킴밥이 인접해 있습니다."
"주소","제주 제주시 정존15길 42 1층 바다를본돼지 제주공항점"
"주소(도로명)","제주특별자치도 제주시 정존15길 42"
"주소(지번주소)","제주특별자치도 제주시 노형동 1055-4"
"대표번호","0507-1409-9242"
"영업시간","12:00~22:00"
"휴무일","없음"
"취급메뉴","바다본 흑돼지, 멜조림"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 가성비가 좋아요, 재료가 신선해요, 매장이 청결해요"
