"관광타입","음식점"
"음식점명","BBQ치킨 서귀포신시가지점"
"개요","안녕하세요. 고객의 행복을 키우는 BBQ입니다. BBQ는 Best of the Best Quality 최고 품질 중에서도 최고를 뜻합니다. BBQ는 그 이름처럼 최고의 원재료만을 사용하여 맛은 물론 고객의 건강까지 생각합니다. BBQ는 최고의 치킨, 맛, 건강에 좋은 치킨을 만들겠다는 일념으로 올리브유 중에서도 최고급유이자 신이 내린 선물이라 불리는 100프로 엑스트라 버진 올리브유를 후라잉오일의 원료로 사용하고 있습니다. 대한민국 대표 치킨 BBQ, 세상에서 가장 맛있고 건강한 치킨을 만들겠습니다. BBQ는 더 풍부한 행복을 만들기 위해 고객의 입맛과 마음을 연구합니다. BBQ가 있는 곳 어디서나 행복한 만남이 이루어집니다. BBQ는 오늘도 고객을 이해하고, 고객의 기대에 보답하기 위해 노력하며, 모든 고객이 선택하는 브랜드가 되는 그날까지, 최상의 제품과 서비스를 드리고자 최선을 다하겠습니다. 세상에서 가장 맛있는 치킨, BBQ. 섬사람, 나들가게민우코사마트가 인접해 있습니다. "
"주소","제주 서귀포시 신서귀로 11"
"주소(도로명)","제주특별자치도 서귀포시 신서귀로 11"
"주소(지번주소)","제주특별자치도 서귀포시 법환동 748"
"대표번호","064-739-9280"
"영업시간","12:00 - 24:00"
"휴무일","없음"
"취급메뉴","황금올리브치킨, 황금올리브치킨 양념"
"주차시설 유무","없음"
"리뷰키워드","없음 "
