"관광타입","음식점"
"음식점명","송악산화덕피자"
"개요","피자 한 판에 제주의 맛을 담다. 안녕하세요. 제주도 3대 피자로 꼽히는 송악산화덕피자입니다. 제주도에서 무슨 피자 라는 고정관념을 깨고 제주에서만 맛볼 수 있는 피자를 만들어 손님들께 맛보이자는 마음으로 제주도 상큼한 맛의 대표주자 한라봉을 올린 상큼한 한라봉피자, 제주도에 오면 무조건 드셔봐야 할 흑돼지를 토핑으로 올린 흑돼지불고기피자, 제주산 한치와 딱새우를 토핑으로 올려 제주 바다의 맛을 느낄 수 있도록 만든 한치전복피자 등을 선보이고 있습니다. 최고의 맛은 아니겠지만, 믿을 수 있는 좋은 재료들로 정성을 담아 만들고 있습니다. 화덕에 구워 담백한 맛까지 살린 제대로 된 화덕피자가 드시고 싶으시다면 송악산화덕피자 방문해주세요. 정성을 다해 맛있게 만들어 드리겠습니다. 송악카트체험장, 산이수동다목적회관이 인접해 있습니다."
"주소","제주 서귀포시 대정읍 송악관광로 392"
"주소(도로명)","제주특별자치도 서귀포시 대정읍 송악관광로 392"
"주소(지번주소)","제주특별자치도 서귀포시 대정읍 상모리 143"
"대표번호","064-792-4758"
"영업시간","10:00 - 19:00/20:00"
"휴무일","없음"
"취급메뉴","형제섬피자, 한우불고기피자"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 친절해요, 재료가 신선해요, 양이 많아요"
