"관광타입","음식점"
"음식점명","흑돈퍼주는집"
"개요","강정가든부터 강정동에서 가장 오래된 골목 식당입니다. 직접 경매를 통한 고급 투플러스1 등급 제주산 흑암돼지를 손수 일일히 발골, 손질하여 유통 마진을 줄여서 질 좋은 100퍼센트 제주산 흑돼지를 제주도에서 최초 원조로 흑돼지 무한리필로 양껏 제공 해드리고 있습니다.100퍼센트 참숯과 함께 제주산 고급 흑암돼지를 무한리필로 드실 수 있습니다. 공깃밥 주문시 테이블당 흑돼지 김치찌개를 서비스로 드립니다. 항상 질좋은 맛과 서비스를 위해 정성을 다하는 흑돈퍼주는집이 되겠습니다. 감사합니다. 강정 농협이 인접해 있습니다."
"주소","제주 서귀포시 이어도로 572-1"
"주소(도로명)","제주특별자치도 서귀포시 이어도로 572-1"
"주소(지번주소)","제주특별자치도 서귀포시 강정동 4400-11"
"대표번호","0507-1422-1134"
"영업시간","15:30 - 22:00"
"휴무일","없음"
"취급메뉴","흑오겹살, 전복 해물 소면"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 양이 많아요, 친절해요"
