"관광타입","음식점"
"음식점명","남가네설악추어탕 도련점"
"개요","정갈한 맛과 정성스런 상차림, 최고의 서비스로 모시는 맛집의 대명사, 남가네 설악추어탕 도련점입니다. 남가네 설악추어탕 도련점은 추어탕의 진한 맛과 더불어 아늑한 실내 인테리어에 넉넉한 인심까지, 우리의 입맛과 눈길, 마음을 사로잡기 충분한 곳입니다. 가족단위의 모임은 물론 귀한 손님 접대에도 안성맞춤인 남가네 설악추어탕 효성점에 오셔서 맛있는 식사와 즐거운 시간 가지시길 바랍니다. 최고의 맛과 최상의 서비스를 드리는 남가네 설악추어탕 도련점이 되겠습니다. 감사합니다. 남가네 설악추어탕은 100퍼센트 미꾸라지만 사용합니다.-100퍼센트 국내산 사골과 돈골로 우려낸 진한 육수만 사용합니다. 100퍼센트 국내산 쌀과 배추, 시래기만 사용합니다. 채송화공원, 삼화LH 3단지 아파트가 인접해 있습니다."
"주소","제주 제주시 삼봉로 134 1층"
"주소(도로명)","제주특별자치도 제주시 삼봉로 134"
"주소(지번주소)","제주특별자치도 제주시 도련일동 1729-3"
"대표번호","064-702-0009"
"영업시간","09:00-21:00"
"휴무일","없음"
"취급메뉴","솥밥 추어탕, 솥밥 얼큰이추어탕"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 매장이 청결해요, 친절해요, 주차하기 편해요, 매장이 넓어요"
