"관광타입","음식점"
"음식점명","우도해녀922 "
"개요","제주시 우도면 연평리에 위치한 우도해녀 입니다. 우도 현지인이 인정한 맛집으로 자부심을 가지고 있습니다. 신선하고 깨끗한 재료만을 엄선하여 모든 메뉴를 조리하고 있으며, 건강하고 바른 먹거리를 전해 드리기 위해 노력하고 있습니다. 최상의 서비스, 최고의 맛으로 보답해 드리겠습니다. 언제나 정성을 다하는 우도해녀가 되겠습니다. 조일리사무소, 비양동포구가 인접해 있습니다."
"주소","제주 제주시 우도면 우도해안길 922 1층"
"주소(도로명)","제주특별자치도 제주시 우도면 우도해안길 922"
"주소(지번주소)","제주특별자치도 제주시 우도면 연평리 36"
"대표번호","010-2850-4865"
"영업시간","10:00-18:00"
"휴무일","없음"
"취급메뉴","우도해녀 모듬해산물, 해물비빔밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 뷰가 좋아요, 특별한 메뉴가 있어요"
