"관광타입","음식점"
"음식점명","대한축산정육식당  "
"개요","신선하고 고품질의 제주산한우, 제주산한돈 흑돼지만을 취급하는 대한축산정육식당입니다. 120석의 단체석, 유아 놀이방, 넓은 주차장 등 매장을 이용하시는데 불편이 없도록 준비하였습니다. 숯불로 구워 더욱 맛있는 투쁠의 제주산한우와 청정한 환경에서 자란 제주산한돈은 많은 고객에게 사랑받는 메뉴입니다. 신선한 재료, 친절한 서비스로 고객을 대하는 대한축산정육식당이 되겠으며  많은 관심과 사랑 부탁 드리겠습니다. 파리바게트, 탕탕이가 인접해 있습니다."
"주소","제주 제주시 도남로 51 1층"
"주소(도로명)","제주특별자치도 제주시 도남로 51"
"주소(지번주소)","제주특별자치도 제주시 도남동 922-31"
"대표번호","064-725-9225"
"영업시간","15:00 - 24:00"
"휴무일","첫째, 셋째 월요일"
"취급메뉴","물냉면, 비빔냉면"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 매장이 넓어요, 가성비가 좋아요, 친절해요"
