"관광타입","음식점"
"음식점명","고수참치 오마카세"
"개요","안녕하세요. 고수참치입니다. 저희 고수참치는 언제나 신선한 재료만을 선별하여 모든 음식에 정성을 다하고 있으며, 편안하고 쾌적한 분위기에서 식사를 즐기실 수 있도록 준비하고 있습니다. 처음부터 끝까지 변함없는 친절한 서비스와 최상의 맛으로 정성껏 음식을 맛깔스럽게 요리해 푸짐한 양과 고급스러운 맛으로 고객님의 미각을 만족시켜 드립니다. 레인보울, 팟타이시암이 인접해 있습니다."
"주소","제주 제주시 용화로 49 용화로49"
"주소(도로명)","제주특별자치도 제주시 용화로 49"
"주소(지번주소)","제주특별자치도 제주시 용담이동 616-12"
"대표번호","0507-1403-1933"
"영업시간","17:00~23:00"
"휴무일","매주 일요일"
"취급메뉴","참치오마카세, 참치회"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 특별한 메뉴가 있어요, 가성비가 좋아요"
