"관광타입","음식점"
"음식점명","칠성골흑돼지"
"개요","제주공항 근처 흑돼지 거리에 위치한 흑돼지를 좀 안다는 제주도민들 사이에는 이미 유명한 흑돼지 맛집입니다. 관광객은 잘 모르지만 제주도를 왔다면 그리고 그 메뉴가 흑돼지라고 한다면 숨 쉬는 돌이라는 제주 화산석에 부위별로 구워 먹는 흑돼지 맛이 일품입니다. 그리고 몇 안 되는 흑돼지 생갈비를 판매하는 곳 중에 한 곳입니다. 부위가 귀해 매일 한정수량으로만 판매를 하니 가기 전에 전화문의를 하고 가는 것을 추천합니다. 날걸로, 막내분식이 인접해 있습니다."
"주소","제주 제주시 중앙로1길 11"
"주소(도로명)","제주특별자치도 제주시 중앙로1길 11"
"주소(지번주소)","제주특별자치도 제주시 건입동 1397-3"
"대표번호","0507-1434-2036"
"영업시간","11:00 - 24:00"
"휴무일","없음"
"취급메뉴","흑돼지생갈비, 흑돼지오겹살"
"주차시설 유무","있음"
"리뷰키워드","인테리어가 멋져요, 음식이 맛있어요, 친절해요, 양이 많아요, 매장이 청결해요"
