"관광타입","음식점"
"음식점명","삼성혈해물탕 서귀포점"
"개요","전부 살아있는 해산물로 요리하는 해물탕 전문점 삼성혈해물탕 서귀포점입니다. 제철에 맞는 해산물이 10가지 이상 들어가는 삼성혈해물탕 서귀포점은 오래 끓일 수록 해물 본연의 맛이 우러나면서 진정한 해물탕을 맛보실 수 있습니다. 신선한 해산물이 듬뿍 담긴 맛있는 해물탕 드시고 가세요. 제주 월드컵경기장, 서귀포 소방서 바로 앞에 위치합니다. 더디퍼, 중앙공인중개사사무소가 인접해 있습니다. "
"주소","제주 서귀포시 서호남로32번길 31-1"
"주소(도로명)","제주특별자치도 서귀포시 서호남로32번길 31-1"
"주소(지번주소)","제주특별자치도 서귀포시 서호동 1554-2"
"대표번호","064-739-7200"
"영업시간","10:30 - 22:00"
"휴무일","없음"
"취급메뉴","해물탕, 전복회"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 양이 많아요, 매장이 청결해요"
