"관광타입","음식점"
"음식점명","한라축산정육식당"
"개요","정육 센터에서 구매하신 육류를 고급스러운 참 숯불에 저렴하게 즐기실 수 있는 제주 한림 협재해수욕장 부근 정육 센터에서 구매하신 육류를 고급스러운 참 숯불에 저렴하게 즐기실 수 있는 제주 한림 협재해수욕장 부근 한라 축산 정육 식당입니다. 참숯구이구이센터가 인접해 있습니다.입니다. 참숯구이구이센터가 인접해 있습니다. 체크프로, 참숯구이구이센터가 인접해 있습니다."
"주소","제주 제주시 한림읍 한림상로 84 A동"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림상로 84"
"주소(지번주소)","제주특별자치도 제주시 한림읍 동명리 1616"
"대표번호","064-796-3855"
"영업시간","10:00 - 22:00"
"휴무일","없음"
"취급메뉴","옛날불고기, 육회비빔밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 매장이 넓어요, 주차하기 편해요, 가성비가 좋아요"
