"관광타입","음식점"
"음식점명","김밥천국 제주대점"
"개요","우리가게를 찾아주신 손님 여러분 감사드립니다. 보다 좋은 식재료로 정성을 다해 손님들에게 신선한 재료와 맛있는 음식을 준비합니다. 우리가게는 손님들께 다양한 메뉴의 선택권, 주문과 동시 조리되는 신선한 음식, 보편적인 입맛에 맞는 음식을 재공해 드리는 것을 추구합니다. 끊임없이 손님 만족을 위해 노력하는 가게가 되겠습니다. 제주대학교, 신전떡볶이가 인접해 있습니다."
"주소","제주 제주시 제주대학로 103-1"
"주소(도로명)","제주특별자치도 제주시 제주대학로 103-1"
"주소(지번주소)","제주특별자치도 제주시 아라이동 35-18"
"대표번호","0507-1372-6009"
"영업시간","09:00 - 20:10"
"휴무일","없음"
"취급메뉴","소고기감튀김밥, 참치피클김밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 친절해요, 혼밥하기 좋아요, 주차하기 편해요"
