"관광타입","음식점"
"음식점명","트리안"
"개요","휴무는 매주 토요입니다. 일요일 영업은 오후 4시부터 오후 8 시까지 합니다. 월요일에서 금요일은 오전 11시 30분에 영업 시작해서 오후 9시에 마감합니다. 튀기는 시간이 5분 정도 걸리니 미리 선주 무해 주시면 됩니다. 화장실이 없으며 주차가 불편한 곳을 찾아주셔서 고맙습니다. 제주서초등학교, 제주사대부설고등학교, 세븐일레븐, 신전떡볶이가 인접해 있습니다."
"주소","제주 제주시 용담로 79 트리안"
"주소(도로명)","제주특별자치도 제주시 용담로 79"
"주소(지번주소)","제주특별자치도 제주시 용담이동 359-45"
"대표번호","070-4202-1642"
"영업시간","11:00/11:30/17:00~14:00/21:00/21:30"
"휴무일","매주 일요일"
"취급메뉴","부드러운흑돼지돈까스, 모짜렐라치즈올린돈까스"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 친절해요, 양이 많아요, 재료가 신선해요, 가성비가 좋아요"
