"관광타입","음식점"
"음식점명","쌍둥이돼지꿈"
"개요","단체 10인 이상 시 10퍼센트 할인 적용됩니다. 네이버 보고 오셨을 경우 김치찌개, 된장찌개, 음료수 중 택 1 서비스입니다. 안녕하십니까. 저희 쌍둥이네 식육식당은 흑돼지 전문점인 맛집입니다. 남녀노소, 나이 불문 누구나 만족할 수 있는 입안에서 살살 녹는 맛을 일품으로 자랑하는 저희 쌍둥이네 식육식당은 찾아오시는 모든 고객 분들께 항상 최고의 서비스와 최상의 맛을 선사해 드립니다. 깔끔하고 신선한 느낌의 저희 매장은 손님들께서 깨끗하고 편안한 식사를 하실 수 있도록 최대한의 노력을 기울이고 있으며, 모든 종업원들의 친절 서비스는 찾아오시는 모든 분들께 다시 방문하고 싶은 편안함을 선사해 드립니다. 저희 쌍둥이네식육식당은 어디에서도 맛보실 수 없는 최고의 맛과 더불어 신선한 재료와 정갈한 맛으로 찾아주시는 모든 분들께 인정받고 있습니다. 꼭 찾아오셔서 저희 쌍둥이네 식육식당만의 맛을 만나보시기 바랍니다. 감사합니다. 카페봄봄, 해리안호텔이 인접해 있습니다."
"주소","제주 서귀포시 중문로81번길 90"
"주소(도로명)","제주특별자치도 서귀포시 중문로81번길 90"
"주소(지번주소)","제주특별자치도 서귀포시 중문동 2167-20"
"대표번호","0507-1486-9981"
"영업시간","12:30 - 22:30"
"휴무일","없음"
"취급메뉴","흑돼지모듬, 흑오겹"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 넓어요, 가성비가 좋아요"
