"관광타입","음식점"
"음식점명","협재돈대장"
"개요","안녕하세요. 흑돼지, 철판 쭈꾸미, 부대찌개 제주 협재 맛집 협재돈대장입니다. 흑돼지는 협재돈대장만의 방법으로 숙성하여 만든 숙성 흑돼지입니다. 또한 일반 불판이 아닌 솥뚜껑에 흑돼지와 매콤한 쭈꾸미를 구워드실 수 있습니다. 쭈꾸미는 육질이 탄탄하며 매우 크답니다. 그리고 협재돈대장의 자랑이자 한국인의 후식인 쭈꾸미와 김가루, 참기름이 볶아진 볶음밥이 별미입니다. 제주도에서 제일 아름답고 유명한 협재 해수욕장에서 걸어서 3분 거리입니다. 협재 해수욕장에 들리신다면 필수 코스로 제주 협재 맛집 협재돈대장에 들러보세요. 협재당구장, 통큰코다리가 인접해 있습니다."
"주소","제주 제주시 한림읍 협재2길 8-4"
"주소(도로명)","제주특별자치도 제주시 한림읍 협재2길 8-4"
"주소(지번주소)","제주특별자치도 제주시 한림읍 협재리 2494-5"
"대표번호","0507-1422-8297"
"영업시간","11:00 - 22:00"
"휴무일","없음"
"취급메뉴","흑오겹살, 백삼겹살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 가성비가 좋아요, 양이 많아요"
