"관광타입","음식점"
"음식점명","까망돼지 서귀포점"
"개요","까망돼지는 오로지 제주도에서만 운영되고 있는 제주도 토종 브랜드 입니다. 중문, 서귀포 2곳에서만 직접 운영하고 있으니 육지 브랜드와 착오 없으시길 부탁드립니다. 네이버 예약 후 꼭 가게로 전화 한번 부탁드립니다. 노쇼가 많아서 전화 예약 꼭 한번 부탁드리며 자리가 저녁시간대는 예약이 힘든 점 양해 부탁드립니다. 그리고 자리가 꽉 찬 경우 정말 최대한 빠르게 응대해드릴 테니 양해 부탁드립니다. 감사합니다. 안녕하세요. 까망돼지 서귀포점입니다. 저희 까망돼지는 육지 체인점이 아닌 오직 제주도에만 있는 곳으로 흑돼지 숙성 고기를 제공해 드리고 있습니다. 여러 가지 맛을 느낄 수 있는 소스들과 함께 맛있는 흑돼지를 즐기고 싶다면 까망돼지를 방문해보세요. 제주도 서귀포 관광단지에 위치하고 있으며 최고의 맛을 자부합니다. 정방폭포, 외돌개가 인접해 있습니다."
"주소","제주 서귀포시 일주동로 8524"
"주소(도로명)","제주특별자치도 서귀포시 일주동로 8524"
"주소(지번주소)","제주특별자치도 서귀포시 토평동 865-1"
"대표번호","0507-1312-6542"
"영업시간","11:00 - 23:00"
"휴무일","없음"
"취급메뉴","제주흑돼지, 진짜생갈비"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 양이 많아요, 매장이 넓어요"
