"관광타입","음식점"
"음식점명","서서방숯불닭갈비 연동점"
"개요","저희 서서방숯불닭갈비 연동점은 자연에서 건강하게 키운 제주 무항생제 닭다리 살을 사용하여 최고급 비장탄에 구워 남녀노소 즐길 수 있는 닭갈비를 제공하고 있습니다. 서서방만에 숙성된 양념에 구워낸 양념구이는 매운맛과 순한맛을 선택할 수 있으며 담백한 맛을 즐길 수 있는 소금구이는 수요미식회 홍신애 쉐프님께서 추천해주신 태안자염이 제공됩니다. 100프로 제주산 흑돼지와 천연 특제양념의 조화로 서서방의 수제양념갈비는 본연의 선홍빛 육색을 띄고 있습니다. 모든 재료와 반찬은 직접 만드는 것을 원칙으로 하며, 소박하지만 주인장의 세심한 관리로 고기 본연의 맛을 내기 위하여 노력하겠습니다. 설빙, 투다리가 인접해 있습니다."
"주소","제주 제주시 신광로 61 1층"
"주소(도로명)","제주특별자치도 제주시 신광로 61"
"주소(지번주소)","제주특별자치도 제주시 연동 273-15"
"대표번호","0507-1301-7745"
"영업시간","15:00-02:00"
"휴무일","매주 월요일"
"취급메뉴","닭목살, 막국수"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 양이 많아요, 가성비가 좋아요"
