"관광타입","음식점"
"음식점명","동홍돈"
"개요","제주도 서귀포시에 위치한 제주산 돼지고기 전문점 동홍돈입니다. 제주산 돼지고기와 소갈비살, 수제소세지, 새우, 버섯, 미나리까지 몽땅 드리는 동홍돈 세트 직접 담근 톡 쏘는 갓김치와 알싸한 파김치는 고기와 찰떡궁합을 자랑합니다. 저렴한 모듬세트에  얼큰한 된장찌개와 포근한 계란찜이 무료 서비스입니다. 관광식당에서는 느낄 수 없는 현지인 찐 맛집만의 저렴한 가격과 최고의 서비스를 느껴보세요. 한살림, 도혜경바이올린이 인접해 있습니다."
"주소","제주 서귀포시 동홍남로 51"
"주소(도로명)","제주특별자치도 서귀포시 동홍남로 51"
"주소(지번주소)","제주특별자치도 서귀포시 동홍동 107-7"
"대표번호","0507-1318-0387"
"영업시간","16:00 - 23:00"
"휴무일","첫째, 셋째 일요일"
"취급메뉴","제주산 삼겹살, 제주산 가브리살"
"주차시설 유무","없음"
"리뷰키워드","없음"
