"관광타입","음식점"
"음식점명","성산 흑돼지 갈치조림 청솔나무집"
"개요","제주 성산 흑돼지 맛집 청솔나무집입니다. 청솔나무집을 수십 년간 운영하며 단 한 번도 변하지 않은 철칙인 내 자식이 먹을 수 있는 음식만을 팔겠다는 신념으로 손님상에 내고 있습니다. 30년 동안 흑돼지와 갈치조림만을 연구해왔습니다. 한 돈 인증 돼지고기, 건강한 식재료만을 사용합니다. 한번 드시고 나면 또 발걸음을 하실 수 있도록 정성을 담아 요리합니다. 항상 변함없는 맛, 정직한 음식만을 약속드리겠습니다. 감사합니다. 제주남원동부새마을금고 성산지점, 성산이용원이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 성산중앙로 25"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 성산중앙로 25"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 성산리 171-8"
"대표번호","064-783-5070"
"영업시간","08:30-21:00"
"휴무일","없음"
"취급메뉴","갈치조림, 고등어구이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 매장이 넓어요, 친절해요, 재료가 신선해요, 주차하기 편해요"
