"관광타입","음식점"
"음식점명","어깨동무  "
"개요","비트와 국내산무로 만든 수제단무지 김밥입니다. 국내산 재료 수제 소스, 국내산 쌀로 떡집에서 뽑아쓰는 떡으로 만드는 쌀떡볶이입니다. 야채, 쌀, 계란 등 국내산 재료를 써 만드는 건강한 분식과 로스팅원두를 이용한 커피, 주스 등의 음료를 만날 수 있습니다. 아이부터 성인까지 모두 함께 할 수 있는가족끼리, 연인끼리, 친구끼리, 혼자서도 즐길 수 있는 분식카페 입니다. 예약, 배달, 매장, 단체주문 가능합니다. 알트아트, 제주제일교회가 인접해 있습니다."
"주소","제주 제주시 아란5길 8 1층"
"주소(도로명)","제주특별자치도 제주시 아란5길 8"
"주소(지번주소)","제주특별자치도 제주시 아라일동 6099-3"
"대표번호","010-4417-8690"
"영업시간","10:00 - 20:00"
"휴무일","매주 토요일, 일요일"
"취급메뉴","즉석떡볶이, 김밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 가성비가 좋아요, 혼밥하기 좋아요, 특별한 메뉴가 있어요"
