"관광타입","음식점"
"음식점명","버거리 제주 애월 수제버거"
"개요","설레고 행복한 제주도 여행 제주시 애월읍 버거리에서 햄벅하세요. 일몰이 아름다운 제주 서쪽, 용천수가 흐르고 푸른 바다를 담고 있는 곽지 해수욕장에 위치한 제주를 닮은 제주시 애월읍 버거리의 메뉴를 소개합니다. 1. 제주시 버거 호주 청정우로 만든 제주시 버거 육즙 줄줄, 감칠맛은 덤, 버거리만의 특색 있는 버거번과 소고기 패티, 그리고 버거리만의 비밀 소스가 어우러져 특별한 맛을 드립니다. 소고기 패티만 무려 140g, 든든한 한 끼로 손색없는 제주시 버거입니다. 2. 애월읍 버거 아직도 딱새우 회로만 드세요. 제주 앞 바다에서 잡은 신선한 제주 특산물인 딱새우를 패티로 오직, 제주시 애월읍 버거리에서만 맛볼 수 있는 버거리의 시그니처 메뉴 애월읍 버거입니다. 일반 새우버거와는 다른 식감에 반하실 거예요. 해변민박, GS25 곽지해변점이 인접해 있습니다."
"주소","제주 제주시 애월읍 곽지1길 26"
"주소(도로명)","제주특별자치도 제주시 애월읍 곽지1길 26"
"주소(지번주소)","제주특별자치도 제주시 애월읍 곽지리 1581-15"
"대표번호","0507-1421-0582"
"영업시간","09:30 - 18:30"
"휴무일","없음"
"취급메뉴","애월읍버거, 제주시버거"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 친절해요, 매장이 청결해요"
