"관광타입","음식점"
"음식점명","야미부대찌개"
"개요","야미부대찌개는 주인장이 직접 만들고 개발한 특제 육수와 소스 그리고 청결함이 함께 하는 곳입니다. 카페 분위기를 기본으로 한 제주도 특유의 고즈넉한 감귤 창고를 개조해서 만든 유럽풍 부대찌개 바비큐 공간입니다. 야미원두의 그윽한 커피 한 잔의 여유로움도 함께 합니다. 게스트 하우스도 함께 하는 곳입니다. 넓은 마당과 정원에 유채꽃 포토존이 있고 아이들이 뛰어놀 수 있는 맛있는 집입니다. 생각하는 정원이 인접해 있습니다. 명이동못, 고운물이 인접해 있습니다."
"주소","제주 제주시 한경면 녹차분재로 621"
"주소(도로명)","제주특별자치도 제주시 한경면 녹차분재로 621"
"주소(지번주소)","제주특별자치도 제주시 한경면 저지리 2886"
"대표번호","0507-1348-0621"
"영업시간","07:00-23:00"
"휴무일","셋째 일요일"
"취급메뉴","부대찌개, 수제돈까스"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 친절해요, 양이 많아요, 재료가 신선해요"
