"관광타입","음식점"
"음식점명","애월연탄집"
"개요","애월 연탄집에서는 제주도의 품질 좋은 흑돼지만 사용하여 불맛을 제대로 살린 흑돼지 연탄불고기를 경험하실 수 있습니다. 또한 잡냄새가 없고 부드러운 식감에 고소한 맛을 자랑합니다. 영유아를 위한 하이체어가 구비되어있습니다. 주인장이 연탄화덕에서 직접 완벌 구이하여 상에 올려드리기에 옷에 냄새 배일 염려 안하셔도 됩니다. 그냥 편안히 오셔서 굽지도 마시고 드시기만 하세요. 솔가가든, 삼남매농장이 인접해 있습니다."
"주소","제주 서귀포시 예래로 296-1 1층"
"주소(도로명)","제주특별자치도 서귀포시 예래로 296-1"
"주소(지번주소)","제주특별자치도 서귀포시 하예동 978"
"대표번호","0507-1373-7135"
"영업시간","11:30 - 21:00"
"휴무일","매주 일요일"
"취급메뉴","흑돼지연탄불고기, 냉우동"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 매장이 청결해요, 매장이 넓어요"
