"관광타입","음식점"
"음식점명","석인장"
"개요","전통주 사케류 기린 생맥주 등의 주류도 취급하고 있습니다. 1인 주방입니다. 요리에 시간이 다소 소요되더라도 이해 부탁드리며 정성을 다해 요리해 드리고 친절히 서비스해 드리도록 항상 노력하겠습니다. 감사합니다. 휴무는 매달 일요일이며 둘째 주와 넷째 주는 일요일과 월요일 이틀 씩 쉬고 있습니다. 헷갈리는 손님분들을 위해 매달 가게 입구 및 인스타그램 공지할게요. 감사합니다. 킴스정보통신, 혼디마카롱이 인접해 있습니다."
"주소","제주 제주시 삼성로 108"
"주소(도로명)","제주특별자치도 제주시 삼성로 108"
"주소(지번주소)","제주특별자치도 제주시 일도이동 163-23"
"대표번호","0507-1460-9403"
"영업시간","18:30 - 24:00"
"휴무일","매주 일요일 둘째, 넷째 월요일"
"취급메뉴","한우육회, 모둠튀김"
"주차시설 유무","없음"
"리뷰키워드","음식이 맛있어요, 친절해요, 특별한 메뉴가 있어요, 기본 안주가 좋아요, 매장이 청결해요"
