"관광타입","음식점"
"음식점명","콩마루순두부짬뽕"
"개요","제주도 맛집 콩마루의 간판 메뉴는 자가 제두부로 만든 자극적인 얼큰 순두부 짬뽕 앤 제주산 돼지고기를 사용한 푸짐한 두부정식입니다. 두부 만들기에 제일 중요한 요소가 물과 콩입니다. 콩은 국산 콩을 사용하고 있습니다. 또한 두부의 수분이 약 70에서 80퍼센트인 만큼 물이 대단히 중요합니다. 사람의 수분도 약 70퍼센트 가까이 되죠. 인체의 수분이 2퍼센트만 부족하여도 갈증이 나타나 신체적 이상이 나타나는 듯이, 저희는 인체 수분의 중요성처럼, 두부의 수분도 중요시하고 있습니다. 물이 좋은 여기 제주 한림은 두부를 만드는 데에 있어 절대적으로 적합한 환경에 있습니다. 사람을 대하듯이 두부에 애정과 열정을 가지고 건강에도 좋고 맛있는 두부를 만드는 여기 제주한림 콩마루 꼭 찾아오세요. 한림중고매장, 바다제비가 인접해 있습니다."
"주소","제주 제주시 한림읍 한림로 638"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림로 638"
"주소(지번주소)","제주특별자치도 제주시 한림읍 한림리 1390-1"
"대표번호","064-796-0657"
"영업시간","09:00 - 20:00"
"휴무일","없음"
"취급메뉴","짬뽕순두부, 얼큰순두부"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 가성비가 좋아요, 양이 많아요"
