"관광타입","음식점"
"음식점명","더애월 흑돼지 김치찌개 두루치기 전문점 본점"
"개요","제주의 시골집과 창고를 손수 리모델링해서 애월읍 하가리에서 가장 이쁜 식당으로 만들었습니다. 육지에서 내려와서 5에서 6개월 동안 뚝딱뚝딱 일해가며 정성 들여 꾸몄습니다. 정말 오래 기다리게 해서 죄송합니다. 이제는 맛으로 보답하겠습니다. 신선한 재료와 제주산 흑돼지로 맛을 낸, 제주에서 최고의 김치찌개 맛집으로 거듭나겠습니다. 오삼춘, 코지빌이 인접해 있습니다."
"주소","제주 제주시 애월읍 하가로 159"
"주소(도로명)","제주특별자치도 제주시 애월읍 하가로 159"
"주소(지번주소)","제주특별자치도 제주시 애월읍 하가리 1461-1"
"대표번호","0507-1409-8522"
"영업시간","11:00 - 20:00"
"휴무일","매주 일요일"
"취급메뉴","흑돈 김치찌개, 양돈 두루치기"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 가성비가 좋아요, 재료가 신선해요, 양이 많아요"
