"관광타입","음식점"
"음식점명","꽃밥"
"개요","꽃밥에 특별한 건 없어요. 평범한 밥집이에요. 특별한 음식도 아닌 집에서 드시던 흔한 음식들이지만 따뜻한 밥 한 끼, 든든하게 드시고 가셨으면 하는 바람으로 대접해 드리고자 해요. 10년 가까이 되는 세월 동안 홍보는 물론 인스타그램도 없지만 허름한 곳에 항상 찾아와주시는 고마운 분들 진심으로 감사드려요. 와줘서 고마워요. 해변산책, 설렘펜션이 인접해 있습니다."
"주소","제주 제주시 애월읍 일주서로 6059"
"주소(도로명)","제주특별자치도 제주시 애월읍 일주서로 6059"
"주소(지번주소)","제주특별자치도 제주시 애월읍 곽지리 1540-2"
"대표번호","064-799-4939"
"영업시간","11:00 - 16:30"
"휴무일","매주 화요일"
"취급메뉴","삼색들깨수제비, 야채비빔밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 가성비가 좋아요, 반찬이 잘 나와요"
