"관광타입","음식점"
"음식점명","히비 안도 코하쿠 "
"개요","따뜻한 음식, 정성껏 내어드릴게요. 다정한 시간의 그 홍대 카페 히비가 제주로 이사 왔어요. 카페 메뉴는 없고요. 현재는 식사만 가능합니다. 오시는 순서대로 안내해 드리고 있어요. 그날 준비된 재료가 소진되면 마감 시간보다 일찍 끝날 수 있습니다. 일찍 마감할 경우 인스타그램으로 안내하고 있으니 확인 부탁드려요. 고맙습니다. 제주담음, 우성파크빌이 인접해 있습니다."
"주소","제주 서귀포시 효돈로 107 1층"
"주소(도로명)","제주특별자치도 서귀포시 효돈로 107"
"주소(지번주소)","제주특별자치도 서귀포시 신효동 747"
"대표번호","0507-1331-0748"
"영업시간","10:30 - 15:00"
"휴무일","없음"
"취급메뉴","말차오레, 에비카레"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 친절해요, 재료가 신선해요"
