"관광타입","음식점"
"음식점명","에이펙스피자앤꽈배기"
"개요","반죽을 매장에서 직접 하는 피자, 꽈배기 전문점입니다. 매일 직접 반죽하는 밀눈 수제도우, 찹쌀 꽈배기 입니다. 100프로 자연산 치즈, 기본으로 엣지가 거의 없이 나갑니다. 피자 끝까지 꽉 차있는 토핑을 즐겨보세요. 신선한재료와 정성으로 최고의 피자를 만들고 있습니다. 피자 한판 주문시 피클1개, 핫소스2개, 파마산 치즈가루1개 기본제공 입니다. 마이마이버거, 육장갈비가 인접해 있습니다."
"주소","제주 제주시 화삼북로 143"
"주소(도로명)","제주특별자치도 제주시 화삼북로 143"
"주소(지번주소)","제주특별자치도 제주시 삼양이동 2332-7"
"대표번호","064-901-0775"
"영업시간","11:00~23:00"
"휴무일","첫째, 셋째, 다섯째 수요일"
"취급메뉴","고구마 피자, 포테이토 피자"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 가성비가 좋아요, 재료가 신선해요, 혼밥하기 좋아요"
