"관광타입","음식점"
"음식점명","모살왓가든"
"개요","안녕하세요. 저희 모살왓가든의 흑돼지는 일반 음식점에서 느낄 수 없는 맛을 자랑하며 특별한 맛으로 손님 여러분을 모시고 있습니다. 외지에서도 손님이 많이 찾아오고 있으며 오시는 분들께 맛있는 흑돼지를 제대로 대접해 드리기 위해 노력하고 있습니다. 모살왓가든에서 식사의 참 맛을 느껴보세요. 최고의 맛으로 모시겠습니다. 감사합니다. 대신택배 제주한경점, 대림오토바이가 인접해 있습니다."
"주소","제주 제주시 한경면 두신로 21-28"
"주소(도로명)","제주특별자치도 제주시 한경면 두신로 21-28"
"주소(지번주소)","제주특별자치도 제주시 한경면 신창리 570-1"
"대표번호","0507-1320-3046"
"영업시간","10:00-22:00"
"휴무일","첫째, 셋째, 다섯째 수요일"
"취급메뉴","흑돼지삼겹살, 흑돼지목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 주차하기 편해요, 재료가 신선해요, 친절해요, 매장이 넓어요"
