"관광타입","음식점"
"음식점명","돈구어 구좌 세화점"
"개요","제주 세화해변 근처제주 화산석 돌판구이로 흑돼지를 저온숙성하여 생고기 본연의 참 맛을 느끼실 수 있습니다. 마마무 화사가 다녀간 제주 흑돼지 구이돈구어는 매일 산지에서 공급되는 최상급 흑돼지를 사용하며 9년 연속 제주산 흑돼지 22호 인증점입니다. 혼밥하시는 분들은 1인분 부터 주문가능하구요. 인원수대로 주문 안하셔도 됩니다. 제주 구좌읍 세화 맛집 돈구어세화해변에서 걸어서 5분거리에 있어 접근성이 좋습니다. 제주 화산석 돌판에 먹는 제주흑돼지의 참맛을 돈구어에서 경험 해보세요. 예약하시면 두배 더 좋아요. 하나로마트, 연미정이 인접해 있습니다."
"주소","제주 제주시 구좌읍 세화1길 15 1층 돈구어 구좌세화점"
"주소(도로명)","제주특별자치도 제주시 구좌읍 세화1길 15"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 세화리 3648-1"
"대표번호","0507-1316-9392"
"영업시간","11:00 - 22:00"
"휴무일","첫째, 셋째, 다섯째 화요일"
"취급메뉴","흑돼지오겹살, 김치찌개"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 가성비가 좋아요, 매장이 청결해요"
