"관광타입","음식점"
"음식점명","월정샌닭"
"개요","월정리 해안 도로 세븐일레븐 옆에 위치하고 있습니다. 저희 월정샌닭은 체인점이 아닙니다. 제주산 1킬로 이상의 큰 닭으로 직접 천연 염지 후 조리합니다. 월정샌닭에서만 먹을 수 있는 상큼, 시원한 숙주 치킨, 마늘향이 매콤한 월정쌘닭, 항상 연구하고 노력하겠습니다. 감사합니다. 배달, 포장 전문입니다. 세븐일레븐 제주월정해안로점, 월정 프라이빗이 인접해 있습니다."
"주소","제주 제주시 구좌읍 행원로1길 33"
"주소(도로명)","제주특별자치도 제주시 구좌읍 행원로1길 33"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 행원리 1537-3"
"대표번호","064-782-0637"
"영업시간","16:00 - 02:00"
"휴무일","없음"
"취급메뉴","숙주치킨 순살, 후라이드치킨"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 주차하기 편해요, 특별한 메뉴가 있어요"
