"관광타입","음식점"
"음식점명","한라축산정육식당 한림점"
"개요","제주 서부권 최대 규모의 정육 식당인 한림 협재해수욕장 근처에 위치한 한라축산정육식당입니다. 우리 한돈과 한우를 매우 저렴한 가격에 판매하고 있습니다. 정육 센터에서 구매하신 육류를 고급스러운 참 숯불에 저렴하게 즐기실 수 있는 제주 한림 협재해수욕장 부근 한라축산정육식당입니다. 그리고 특선으로 직접 육수와 면발을 만들어 제공하는 함흥식 냉면과 가게에서 직접 사골을 고아 만든 사골곰국 등을 식사 메뉴로 판매합니다. 협재해수욕장 인근 저희 한라축산정육식당은 제주도민 관광객 여러분들에게 조금 더 좋은 음식을 준비하고자 항상 노력하겠습니다. 한라축산물도매센터, 참숯구이구이센터가 인접해 있습니다."
"주소","제주 제주시 한림읍 한림상로 84"
"주소(도로명)","제주특별자치도 제주시 한림읍 한림상로 84"
"주소(지번주소)","제주특별자치도 제주시 한림읍 동명리 1616"
"대표번호","064-796-3855"
"영업시간","10:00 - 22:00"
"휴무일","없음"
"취급메뉴","옛날불고기, 육회비빔밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 주차하기 편해요, 매장이 넓어요, 재료가 신선해요, 친절해요"
