"관광타입","음식점"
"음식점명","성산돌섬흑돼지"
"개요","흑돼지 마니아들의 성지 성산돌섬흑돼지입니다. 성산 일출봉에서 5분 거리 도민 맛집으로 유명한 곳입니다. 25년간 신선한 고기, 식재료를 사용하여 정직하게 식당을 운영하고 있는 오조리 이장님의 돌섬흑돼지입니다. 전복 양식장을 직접 운영하시기 때문에 싱싱한 활전복을 함께 구워 드실 수 있습니다. 봄 그리고 가을, 더포그레이스, 아름다운 리조트에서 픽업 가능합니다. 픽업 원하시는 분은 미리 전화 주세요. 감사합니다. 성산고등학교, 줄라이씨, 인더오조카페가 인접해 있습니다."
"주소","제주 서귀포시 성산읍 한도로 109"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 한도로 109"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 오조리 367-5"
"대표번호","0507-1343-2304"
"영업시간","11:00-22:00"
"휴무일","없음"
"취급메뉴","흑돼지 오겹살, 흑돼지 목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 양이 많아요"
