"관광타입","음식점"
"음식점명","달세뇨아빠의레스토랑"
"개요","셰프가 요리 명문 대학 미국 존슨앤웨일즈 졸업하고 쉐라톤 호텔, 대기업 메뉴 개발 팀장으로 근무 했습니다. 신선한 제주도 식재료를 사용하여 만든 맛있는 파스타와 바게트 피자를 맛볼 수 있는 작은 이탈리안 레스토랑입니다. 남녀노소 어른 아이 다 같이 즐길 수 있는 파스타 집이 되도록 하겠습니다. 좋은 하루 보내세요. 대흘초등학교, 아성공간정보, 농부와꽃돼지가 인접해 있습니다."
"주소","제주 제주시 조천읍 함대로 520 1층"
"주소(도로명)","제주특별자치도 제주시 조천읍 함대로 520"
"주소(지번주소)","제주특별자치도 제주시 조천읍 대흘리 1778-1"
"대표번호","0507-1311-0520"
"영업시간","11:00-15:30/19:30"
"휴무일","매주 수요일, 일요일"
"취급메뉴","제주고사리알리올리오, 게살 크림 파스타"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 친절해요, 매장이 청결해요"
