"관광타입","음식점"
"음식점명","바당고지 흑돼지다이닝 제주금능협재점"
"개요","안녕하세요. 제주 유일무이 흑돼지 다이닝 바당고지입니다. 제주 그 어디에도 없는 흑돼지, 한치, 수제 장아찌 삼합을 맛보실 수 있습니다. 왜 바당고지일까요. 아들과 엄마가 함께 운영하는 만큼, 상호명에도 숨겨진 뜻을 담고 싶었습니다. 바당을 사랑하는 스쿠버 강사 아들과 고지를 좋아하는 엄마의 뜻을 담아 바당고지라는 상호명을 짓게 되었습니다. 제주 유일무이 흑돼지 다이닝입니다. 일반 고깃집과는 다른 따듯한 가정집 분위기의 아기자기하고 감성적인 인테리어, 정갈한 반찬과 플레이팅, 직접 설명과 함께 가장 맛있는 굽기로 직접 구워드리는 고기는 나를 마치 초대받은 사람처럼 느끼게 해줍니다. 협재칼국수, 오레노카츠 제주협재점이 인접해 있습니다."
"주소","제주 제주시 한림읍 협재로 6"
"주소(도로명)","제주특별자치도 제주시 한림읍 협재로 6"
"주소(지번주소)","제주특별자치도 제주시 한림읍 협재리 1907-1"
"대표번호","0507-1343-7553"
"영업시간","11:30/17:00 - 22:30"
"휴무일","매주 수요일"
"취급메뉴","숙성뼈삼겹, 냉라면"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 고기 질이 좋아요, 반찬이 잘 나와요"
