"관광타입","음식점"
"음식점명","섭지코지한끼"
"개요","좋은 사람과 함께 식사한다는 것은 기분 좋은 일입니다. 또한 나 홀로 여행 다니며 먹는 식사는 에너지로 돌아와 다음 일정을 소화할 수 있습니다. 그런 식사 제가 맛있게 해드리고 싶습니다. 언제든 부담 없이 들어오세요. 아쿠아 플라넷 가는 길에 있습니다. 많이 좋아해 주세요. 신양리숯불바베큐, 망고레이 섭지코지점이 인접해 있습니다."
"주소","제주 서귀포시 성산읍 신양로 100 1층"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 신양로 100"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 고성리 203-5"
"대표번호","0507-1370-0995"
"영업시간","12:30/13:00-23:00/23:30"
"휴무일","격주 월요일"
"취급메뉴","해물카레덮밥, 흑돼지돈까스"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 가성비가 좋아요, 양이 많아요, 재료가 신선해요, 친절해요"
