"관광타입","음식점"
"음식점명","물통식당 "
"개요","물통식당 입니다. 신선한 재료, 한약재를 사용하여 매일 맛있는 육수를 만들어서 요리합니다. 매일 거래처에서 질 좋은 흑돼지를 받아서 사용합니다. 손님들께 맛, 친절, 서비스 위해 매일 최선을 다하겠습니다. 봄, 여름, 가을 테라스를 오픈합니다. 푸른 귤밭을 바라보며 맛있는 흑돼지 드시러 오시기 바랍니다. 신화월드, 오설록, 환상숲 곶자왈공원, 저정초등학교가 인접해 있습니다."
"주소","제주 제주시 한경면 명이5길 20"
"주소(도로명)","제주특별자치도 제주시 한경면 명이5길 20"
"주소(지번주소)","제주특별자치도 제주시 한경면 저지리 3118-1"
"대표번호","0507-1414-5292"
"영업시간","10:30-21:30"
"휴무일","없음"
"취급메뉴","흑돼지 자투리고기, 김치찌개"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 매장이 넓어요, 재료가 신선해요, 가성비가 좋아요"
