"관광타입","음식점"
"음식점명","색달식당 중문갈치조림구이 본점"
"개요","저희 색달식당 중문본점은 100퍼센트 제주산 은갈치와 최상급 재료를 사용하여 서귀포 중문 도민 분들이 인정해 주신 곳입니다. 새로 확장 이전한 곳에서 갈치튀김과 갈치회무침 그리고 갈치회와 데마끼까지 새로운 메뉴로 더더욱 좋은 한 상을 준비했습니다. 언제나 제주 갈치 조림 구이 전문점이라는 명성에 맞는 최상의 서비스를 제공하겠습니다. 내비게이션 서귀포시 예래로 255 18 꼭 입력하시고 오세요. 제주도 갈치 조림 전문점으로 지속적으로 노력하는 중입니다. 제주 은갈치 조림과 통갈치구이 더더욱 메뉴 개발과 고객님들이 드시기에 정말 잘 먹었다 하는 맘이 들 때까지 노력하고 있습니다. 중문 통갈치 조림은 조미료가 전혀 들어가지 않아서 천연 재료로만 만들고 있어요. 서귀포 갈치 조림으로써 제주 갈치구이와 제주 통갈치 조림은 색달식당입니다. 색달식당 중문본점은 제주산은 갈치만을 사용합니다. 제주 앞바다에서 잡은 제주도 갈치입니다. 꼭 들려서 맛있는 통갈치 조림과 구이로 건강한 여행하세요. 즐거운 제주 여행을 위해서 전 직원이 매일매일 정성을 담아서 준비하겠습니다. 감사합니다. 롯데호텔, 신라호텔, 그랜드조선호텔, 주문해수욕장, 제주투데이펜션, 씨에나펜션이 인접해 있습니다."
"주소","제주 서귀포시 예래로 255-18 1층"
"주소(도로명)","제주특별자치도 서귀포시 예래로 255-18"
"주소(지번주소)","제주특별자치도 서귀포시 하예동 350"
"대표번호","0507-1321-1741"
"영업시간","10:00 - 21:00"
"휴무일","없음"
"취급메뉴","통갈치구이, 통갈치조림"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 가성비가 좋아요"
