"관광타입","음식점"
"음식점명","중문 갈치 노릇"
"개요","제주 중문 갈치 맛집입니다. 노릇노릇 군침 돌고 미치고 팔짝 뛸 노릇, 해산물이 듬뿍 들어가고 너무 맛있는데 비법양념은 며느리도 안 가르쳐줘서 환장할 노릇입니다. 점심 먹으러 왔다가 저녁도 예약하고 가는 갈치에 진심인 노릇입니다. 효자 노릇 하려다 부모님보다 더 먹고 가니 통탄할 노릇입니다. 제주 통갈치조림, 제주갈치구이, 제주갈치 국, 제주갈치회, 제주갈치 솥밥, 제주 몸국 한자리에서 갈치로 할 수 있는 모든 요리를 맛볼 수 있는 진짜 제주갈치 요리 전문점입니다. 노릇은 테이블링 앱으로 예약하시면 현장 대기 없이 원격 대기 가능합니다. 예약 및 문의, 단체 예약 0507 1404 6004입니다. 노릇노릇 맛있는 갈치 요리 전문점 노릇은, 눈 한번 질끈 감고 세트메뉴를 드시면 당연히 통갈치 요리뿐 아니라 노릇에서만 드실 수 있는 갈치 솥밥, 제주 몸국, 갈치회, 돔베 고기, 새우 장 등 한정식처럼 최고의 한상차림 대접을 받으실 수 있습니다. 널찍한 20여 개의 테이블 및 3개의 개별 룸이 따로 구비되어 커플, 가족, 가족모임, 단체 모두 편하게 힐링하며 추억을 남기실 수 있고 캔넬만 준비해 주시면 애견 동반도 가능합니다. 주변에 색달해변, 천제연폭포, 대포 주상절리가 차량으로 5분 거리에 위치해 있고, 신라호텔, 부영호텔, 롯데호텔, 그랜드조선호텔등 주요 숙박시설들과도 5분거리의 중심에 노릇이 있어서 편하게 방문하실 수 있습니다. 테이블링 어플을 사용하시면 현장대기 없이 원격대기가 가능하십니다. 단체예약 및 문의 0507 1404 6001 입니다. 씨에스디, 제주로다본점이 인접해 있습니다."
"주소","제주 서귀포시 1100로49번길 28-19"
"주소(도로명)","제주특별자치도 서귀포시 1100로49번길 28-19"
"주소(지번주소)","제주특별자치도 서귀포시 중문동 1751-1"
"대표번호","0507-1404-6001"
"영업시간","09:00 - 21:00"
"휴무일","없음"
"취급메뉴","통갈치구이, 통갈치조림"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 양이 많아요"
