"관광타입","음식점"
"음식점명","애월흑돼지 애월그때그집 본점"
"개요","안녕하세요. 제주그때그집 애월본점입니다. 흑돼지고기 전문점으로 애월 본점입니다. 함덕, 세화, 공항, 한림, 시청, 노형, 산방산, 중문, 판포, 서울제주흑돼지집 11곳 매장을 운영하고 있습니다. 항상 고객님들의 만족스러운 식사를 제공할 수 있도록 노력하겠습니다. 감사합니다. CU 제주애월항점, 애월건기가 인접해 있습니다."
"주소","제주 제주시 애월읍 애월해안로 97"
"주소(도로명)","제주특별자치도 제주시 애월읍 애월해안로 97"
"주소(지번주소)","제주특별자치도 제주시 애월읍 애월리 407-6"
"대표번호","064-799-9229"
"영업시간","11:00 - 22:00"
"휴무일","매주 화요일"
"취급메뉴","제주 흑돼지 김치찌개 전골, 제주 흑돼지 목살"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 양이 많아요, 재료가 신선해요, 인테리어가 멋져요"
