"관광타입","음식점"
"음식점명","다운타우너 제주 애월"
"개요","Downtown에서 유래한 Downtowner는 이름에서 느낄 수 있듯 바쁜 도시인들이 빠르고 편하게 즐겨 먹을 수 있는 고품질의 Fast 앤 Premium 수제 버거를 판매하고 있습니다. 또한 수제 맥주와 함께 준비되어 있는 프라이즈 및 치킨 메뉴는 간단한 식사 및 맥주 안주로 즐기실 수 있습니다. 언제든지 방문하시어 맛있는 버거를 즐겨보세요. 제주 반딧불한담 애월점, 푸린 제주애월점이 인접해 있습니다."
"주소","제주 제주시 애월읍 애월로1길 24-9"
"주소(도로명)","제주특별자치도 제주시 애월읍 애월로1길 24-9"
"주소(지번주소)","제주특별자치도 제주시 애월읍 애월리 2527-3"
"대표번호","0507-1315-0160"
"영업시간","10:00 - 20:00"
"휴무일","없음"
"취급메뉴","크리스피치킨 버거, 크랩 버거"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 뷰가 좋아요, 친절해요, 재료가 신선해요, 특별한 메뉴가 있어요"
