"관광타입","음식점"
"음식점명","허벅식당"
"개요","갈치조림과 해물라면, 흑돼지쌈밥 등이 맛있는 제주 세화 맛집, 월정리부터 세화해변까지 제주 구좌읍의 가장 아름다운 경치를 만끽할 수 있는 맛집이에요. 제주 구좌읍 세화에 있는 맛집이에요. 월정리해변 해수육장에서 10분거리, 세화포구, 세화해수욕장에서 가까워요. 구좌읍 월정리, 세화의 해녀 할머니들이 직접 잡아온 싱싱한 해산물들이 푸짐한 곳이에요. 월정리 세화에서 돋보이는 최고의 통갈치조림과 고사리갈치조림을 드실 수 있는 오래된 맛집이랍니다. 월정리해수욕장과 가깝고 경치가 좋은 세화해변과도 가까워서 식사 전 후에 아름다운 풍경을 감상할 수 있어요. 풍경이 좋고 맛이 좋은 제주 세화 맛집을 찾는다면 언제든 환영합니다. 농협, 하나로마트가 인접해 있습니다."
"주소","제주 제주시 구좌읍 세평항로 26"
"주소(도로명)","제주특별자치도 제주시 구좌읍 세평항로 26"
"주소(지번주소)","제주특별자치도 제주시 구좌읍 세화리 3645-4"
"대표번호","0507-1415-0799"
"영업시간","08:00 - 20:30"
"휴무일","없음"
"취급메뉴","갈치조림, 쌈밥"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 양이 많아요, 매장이 청결해요"
