"관광타입","음식점"
"음식점명","크레베떼"
"개요","랍스터의 탱글탱글한 식감과 깊고 진한 맛을 고스란히 가지고 있는 딱새우입니다. 크레베떼는 지금까지 수십만 마리의 딱새우를 직접 손질한 전문 셰프가 딱새우를 주 재료로 양식의 다양한 소스와 딱새우 본연의 맛을 최대한 살릴 수 있게 접목시킨 제주 로컬 푸드 전문 레스토랑입니다. 국내 어디서도 쉽게 접할 수 없는 딱새우 구운 뇨키는 많은 고객님들께 사랑을 받으며 크레베떼의 시그니처 메뉴로 자리하고 있습니다. 또한 2시간 이상 약불로 끓인 비스크 소스가 들어간 딱새우 파스타는 바다의 깊고 진한 맛과 풍부한 풍미를 느끼실 수 있습니다. 이처럼 크레베떼에서는 모든 소스를 기성품이 아닌 직접 만들어 사용함으로써 차별화를 두고 있습니다. 또한 앞서 언급한 대로 전문 셰프가 딱새우를 직접 손질해서 제공함으로 고객님께서는 여타 갑각류 요리를 드실 때와 달리 손에 안 묻히시고 포크만 가지고도 편하고 깔끔하게 드실 수 있습니다. 그리고 갑각류 요리를 드시지 못하는 분들을 위한 육류가 들어간 샐러드, 파스타, 피자 등 다양한 메뉴가 준비되어 있습니다. 크레베떼는 일관된 맛과 음식의 퀄리티를 위해 전문 셰프가 모든 음식을 담당하므로 조리시간이 다소 길어지는 부분이 있으나 같이 오신 일행분들과 즐거운 대화를 나누며 조금만 여유를 가지고 기다려 주시면 감사하겠습니다. 크레베떼는 딱새우의 탱글탱글 하고 부드러운 식감, 그리고 환상의 맛을 제주 로컬 푸드 전문 레스토랑으로서 많은 분들에게 알리고자 합니다. 함덕해수욕장, 소노벨 제주, 오드랑베이커리, 달사막이 인접해 있습니다."
"주소","제주 제주시 조천읍 함덕로 28 2층"
"주소(도로명)","제주특별자치도 제주시 조천읍 함덕로 28"
"주소(지번주소)","제주특별자치도 제주시 조천읍 함덕리 270-6"
"대표번호","064-782-6727"
"영업시간","11:00-22:00"
"휴무일","매주 화요일"
"취급메뉴","딱새우구운 뇨끼, 딱새우 비스크오일 파스타"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 특별한 메뉴가 있어요, 재료가 신선해요, 매장이 청결해요"
