"관광타입","음식점"
"음식점명","소문난조림왕 "
"개요","제주 우도맛집 소문난조림왕입니다. 성산항에서도 입소문이 나서 많은 분들이 우도오시면 꼭 들러주십니다. 찾아와주신 분들 정말 너무 감사합니다. 맛있다고 네이버랑 인스타그램에도 별점 많이 주셔서 감사합니다. 1. 한 분 한 분께 정성을 다하는 소문난조림왕이 되겠습니다. 2. 신선하고 건강한 식재료로 건강한 먹거리를 제공하겠습니다. 3. 남녀노소 모두 만족하실 수 있는 최상의맛을 항상 연구중입니다. 정말정말 너무 감사합니다. 하우목동항, 우도리조트, 하고수동포구가 인접해 있습니다."
"주소","제주 제주시 우도면 주흥1길 21"
"주소(도로명)","제주특별자치도 제주시 우도면 주흥1길 21"
"주소(지번주소)","제주특별자치도 제주시 우도면 연평리 973"
"대표번호","0507-1476-1980"
"영업시간","10:00-22:00"
"휴무일","매주 일요일"
"취급메뉴","해산물모듬, 갈치조림"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 재료가 신선해요, 친절해요, 양이 많아요, 주차하기 편해요"
