"관광타입","음식점"
"음식점명","성산바다 제주성산점"
"개요","최근 제주도에서 가장 인기 좋은 먹거리인 통갈치조림과 통갈치 구이, 생선구이 전문점입니다. 성산바다는 제주도의 명소인 성산 일출봉과 섭지코지에서 가까우며 2층 홀에서 성산 일출봉이 한눈에 들어오는 멋진 전망, 넓은 주차장, 이색 메뉴, 친절한 서비스로 고객들에게 사랑받고 있습니다. 갈치로 유명한 성산 바다에서 잡아올린 싱싱한 갈치로 요리해 맛이 더욱 좋습니다. 그뿐만 아니라 그 인기에 힘입어 생방송 투데이 TV 프로그램에 갈치 맛집으로 소개된 진정한 맛집입니다. 신양교회, 라움인제주, 성산풍천장어가 인접해 있습니다."
"주소","제주 서귀포시 성산읍 신양로 29-2"
"주소(도로명)","제주특별자치도 서귀포시 성산읍 신양로 29-2"
"주소(지번주소)","제주특별자치도 서귀포시 성산읍 고성리 864-1"
"대표번호","064-783-7878"
"영업시간","09:00-20:30"
"휴무일","없음"
"취급메뉴","통갈치조림, 통갈치구이"
"주차시설 유무","있음"
"리뷰키워드","음식이 맛있어요, 친절해요, 재료가 신선해요, 주차하기 편해요, 양이 많아요"
